HTTP/1.1 200 OK
Date: Thu, 09 Nov 2017 23:39:12 GMT
Server: Apache/2.4.18 (Ubuntu)
Content-Disposition: attachment; filename=VOTOS_GOVERNADOR_MUNZONA_2010.csv
Set-Cookie: session=eyJsb2NhbGUiOnsiIGIiOiJjSFE9In19.DOZ4oA.JH5d3mY2TL9VgS-JS2_WKOFYxwg; HttpOnly; Path=/
Content-Length: 286245
Content-Type: text/csv; charset=utf-8

"NUM_ZONA","UF","DESCRICAO_CARGO","NOME_MUNICIPIO","QTDE_VOTOS"
"10","DF","GOVERNADOR","Brasília","141367"
"10","ES","GOVERNADOR","São José do Calçado","7036"
"10","GO","GOVERNADOR","Corumbaíba","9850"
"10","MA","GOVERNADOR","São Luís","86480"
"10","MG","GOVERNADOR","Alpinópolis","11797"
"10","MG","GOVERNADOR","São José da Barra","4530"
"10","MS","GOVERNADOR","Aquidauana","26402"
"10","MT","GOVERNADOR","Rondonópolis","35020"
"10","PA","GOVERNADOR","Muaná","28639"
"10","PB","GOVERNADOR","Araçagi","19746"
"10","PB","GOVERNADOR","Guarabira","62082"
"10","PB","GOVERNADOR","Pilõezinhos","7281"
"10","PE","GOVERNADOR","Olinda","79009"
"10","PI","GOVERNADOR","Aroeiras do Itaim","4947"
"10","PI","GOVERNADOR","Paquetá","5834"
"10","PI","GOVERNADOR","Picos","48780"
"10","PR","GOVERNADOR","Contenda","9316"
"10","PR","GOVERNADOR","Lapa","29541"
"10","RJ","GOVERNADOR","Rio de Janeiro","43092"
"10","RN","GOVERNADOR","Bento Fernandes","3770"
"10","RN","GOVERNADOR","Jandaíra","4598"
"10","RN","GOVERNADOR","Jardim de Angicos","2209"
"10","RN","GOVERNADOR","João Câmara","19303"
"10","RN","GOVERNADOR","Parazinho","3415"
"10","RO","GOVERNADOR","Jaru","28934"
"10","RS","GOVERNADOR","Cachoeira do Sul","54669"
"10","RS","GOVERNADOR","Cerro Branco","3204"
"10","RS","GOVERNADOR","Novo Cabrais","3076"
"10","SC","GOVERNADOR","Criciúma","51408"
"10","SE","GOVERNADOR","Itabaianinha","21716"
"10","SP","GOVERNADOR","Apiaí","14704"
"10","SP","GOVERNADOR","Barra do Chapéu","3235"
"10","SP","GOVERNADOR","Iporanga","2448"
"10","SP","GOVERNADOR","Itapirapuã Paulista","2345"
"10","SP","GOVERNADOR","Itaóca","2076"
"10","SP","GOVERNADOR","Ribeira","2164"
"10","TO","GOVERNADOR","Araguatins","14945"
"10","TO","GOVERNADOR","Buriti do Tocantins","4763"
"10","TO","GOVERNADOR","Esperantina","4460"
"10","TO","GOVERNADOR","São Bento do Tocantins","3065"
"100","BA","GOVERNADOR","Catolândia","2609"
"100","BA","GOVERNADOR","São Desidério","14388"
"100","CE","GOVERNADOR","Groaíras","6367"
"100","GO","GOVERNADOR","Carmo do Rio Verde","10717"
"100","GO","GOVERNADOR","São Patrício","3054"
"100","MA","GOVERNADOR","Boa Vista do Gurupi","3433"
"100","MA","GOVERNADOR","Centro Novo do Maranhão","6925"
"100","MA","GOVERNADOR","Junco do Maranhão","3321"
"100","MA","GOVERNADOR","Maracaçumé","9011"
"100","MG","GOVERNADOR","Curvelo","44270"
"100","MG","GOVERNADOR","Felixlândia","8640"
"100","MG","GOVERNADOR","Inimutaba","4204"
"100","MG","GOVERNADOR","Morro da Garça","1966"
"100","MG","GOVERNADOR","Presidente Juscelino","2869"
"100","PA","GOVERNADOR","Bom Jesus do Tocantins","12604"
"100","PA","GOVERNADOR","Marabá","88060"
"100","PE","GOVERNADOR","Olinda","94224"
"100","PR","GOVERNADOR","Mirador","1538"
"100","PR","GOVERNADOR","Paraíso do Norte","7287"
"100","PR","GOVERNADOR","São Carlos do Ivaí","3972"
"100","RJ","GOVERNADOR","Campos dos Goytacazes","26278"
"100","RS","GOVERNADOR","Charrua","2296"
"100","RS","GOVERNADOR","Santa Cecília do Sul","1527"
"100","RS","GOVERNADOR","Tapejara","12321"
"100","RS","GOVERNADOR","Vila Lângaro","1959"
"100","RS","GOVERNADOR","Água Santa","2611"
"100","SC","GOVERNADOR","Florianópolis","99479"
"100","SP","GOVERNADOR","Porto Feliz","30119"
"101","BA","GOVERNADOR","Dom Basílio","7181"
"101","BA","GOVERNADOR","Jussiape","5000"
"101","BA","GOVERNADOR","Livramento de Nossa Senhora","23119"
"101","BA","GOVERNADOR","Rio de Contas","8534"
"101","CE","GOVERNADOR","Aiuaba","8194"
"101","CE","GOVERNADOR","Arneiroz","4834"
"101","GO","GOVERNADOR","Brazabrantes","4244"
"101","GO","GOVERNADOR","Caturaí","5745"
"101","GO","GOVERNADOR","Goianira","30360"
"101","GO","GOVERNADOR","Santo Antônio de Goiás","5987"
"101","MA","GOVERNADOR","Centro do Guilherme","4289"
"101","MA","GOVERNADOR","Governador Nunes Freire","10913"
"101","MA","GOVERNADOR","Maranhãozinho","4828"
"101","MG","GOVERNADOR","Couto de Magalhães de Minas","2620"
"101","MG","GOVERNADOR","Datas","3220"
"101","MG","GOVERNADOR","Diamantina","25848"
"101","MG","GOVERNADOR","Felício dos Santos","2859"
"101","MG","GOVERNADOR","Gouveia","6939"
"101","MG","GOVERNADOR","Monjolos","1483"
"101","MG","GOVERNADOR","Presidente Kubitschek","1988"
"101","MG","GOVERNADOR","Senador Modestino Gonçalves","2998"
"101","MG","GOVERNADOR","São Gonçalo do Rio Preto","2123"
"101","PA","GOVERNADOR","Novo Repartimento","53973"
"101","PE","GOVERNADOR","Jaboatão dos Guararapes","112199"
"101","PR","GOVERNADOR","Coronel Vivida","13731"
"101","RJ","GOVERNADOR","Cantagalo","13416"
"101","RS","GOVERNADOR","Barra do Guarita","2069"
"101","RS","GOVERNADOR","Derrubadas","2353"
"101","RS","GOVERNADOR","Miraguaí","3233"
"101","RS","GOVERNADOR","Tenente Portela","8463"
"101","RS","GOVERNADOR","Vista Gaúcha","2181"
"101","SC","GOVERNADOR","Florianópolis","65719"
"101","SP","GOVERNADOR","Presidente Prudente","59784"
"102","BA","GOVERNADOR","Canudos","8417"
"102","BA","GOVERNADOR","Euclides da Cunha","28986"
"102","BA","GOVERNADOR","Quijingue","14343"
"102","CE","GOVERNADOR","Jati","4911"
"102","CE","GOVERNADOR","Penaforte","5024"
"102","GO","GOVERNADOR","Arenópolis","4987"
"102","GO","GOVERNADOR","Piranhas","14928"
"102","MA","GOVERNADOR","Marajá do Sena","4267"
"102","MA","GOVERNADOR","Paulo Ramos","10969"
"102","MG","GOVERNADOR","Divinópolis","79374"
"102","PA","GOVERNADOR","Jacareacanga","9530"
"102","PE","GOVERNADOR","Pombos","14828"
"102","PE","GOVERNADOR","Vitória de Santo Antão","12117"
"102","PR","GOVERNADOR","Mandaguaçu","12506"
"102","PR","GOVERNADOR","Ourizona","2504"
"102","PR","GOVERNADOR","São Jorge do Ivaí","3743"
"102","RJ","GOVERNADOR","Carmo","11214"
"102","RS","GOVERNADOR","Alecrim","5166"
"102","RS","GOVERNADOR","Porto Lucena","3827"
"102","RS","GOVERNADOR","Porto Vera Cruz","1498"
"102","RS","GOVERNADOR","Santo Cristo","10764"
"102","SC","GOVERNADOR","Agronômica","3189"
"102","SC","GOVERNADOR","Aurora","3777"
"102","SC","GOVERNADOR","Laurentino","4206"
"102","SC","GOVERNADOR","Lontras","6239"
"102","SC","GOVERNADOR","Presidente Nereu","1795"
"102","SC","GOVERNADOR","Rio do Oeste","4626"
"102","SP","GOVERNADOR","Caiuá","3015"
"102","SP","GOVERNADOR","Marabá Paulista","2615"
"102","SP","GOVERNADOR","Presidente Venceslau","22851"
"103","BA","GOVERNADOR","Miguel Calmon","15531"
"103","CE","GOVERNADOR","Cariús","11314"
"103","GO","GOVERNADOR","Araçu","6709"
"103","GO","GOVERNADOR","Avelinópolis","4778"
"103","MA","GOVERNADOR","Governador Edison Lobão","7878"
"103","MA","GOVERNADOR","Montes Altos","5694"
"103","MA","GOVERNADOR","Ribamar Fiquene","4770"
"103","MG","GOVERNADOR","Divinópolis","55178"
"103","PA","GOVERNADOR","Breu Branco","37787"
"103","PE","GOVERNADOR","Limoeiro","10743"
"103","PR","GOVERNADOR","Chopinzinho","12549"
"103","PR","GOVERNADOR","Saudade do Iguaçu","3129"
"103","PR","GOVERNADOR","Sulina","2378"
"103","PR","GOVERNADOR","São João","6680"
"103","RJ","GOVERNADOR","Duque de Caxias","52897"
"103","RS","GOVERNADOR","Barracão","3473"
"103","RS","GOVERNADOR","Cacique Doble","3171"
"103","RS","GOVERNADOR","Machadinho","3716"
"103","RS","GOVERNADOR","Santo Expedito do Sul","1926"
"103","RS","GOVERNADOR","São José do Ouro","4899"
"103","RS","GOVERNADOR","Tupanci do Sul","1122"
"103","SC","GOVERNADOR","Balneário Camboriú","17654"
"103","SC","GOVERNADOR","Camboriú","27275"
"103","SP","GOVERNADOR","Promissão","21093"
"104","BA","GOVERNADOR","Lapão","14806"
"104","CE","GOVERNADOR","Maracanaú","58005"
"104","MA","GOVERNADOR","Arame","14479"
"104","MG","GOVERNADOR","Dores do Indaiá","8715"
"104","MG","GOVERNADOR","Estrela do Indaiá","2295"
"104","MG","GOVERNADOR","Quartel Geral","2391"
"104","MG","GOVERNADOR","Serra da Saudade","787"
"104","PA","GOVERNADOR","Belterra","19352"
"104","PA","GOVERNADOR","Santarém","70309"
"104","PE","GOVERNADOR","Goiana","14296"
"104","PR","GOVERNADOR","Primeiro de Maio","6920"
"104","RJ","GOVERNADOR","Itaboraí","67115"
"104","RS","GOVERNADOR","Arroio do Meio","13447"
"104","RS","GOVERNADOR","Capitão","2115"
"104","RS","GOVERNADOR","Coqueiro Baixo","1136"
"104","RS","GOVERNADOR","Nova Bréscia","2363"
"104","RS","GOVERNADOR","Pouso Novo","1408"
"104","RS","GOVERNADOR","Travesseiro","1794"
"104","SC","GOVERNADOR","Capão Alto","2406"
"104","SC","GOVERNADOR","Lages","40398"
"104","SP","GOVERNADOR","João Ramalho","2797"
"104","SP","GOVERNADOR","Quatá","7967"
"105","BA","GOVERNADOR","Abaíra","5183"
"105","BA","GOVERNADOR","Boninal","6313"
"105","BA","GOVERNADOR","Piatã","10216"
"105","CE","GOVERNADOR","Capistrano","11178"
"105","GO","GOVERNADOR","Campos Belos","20426"
"105","GO","GOVERNADOR","Monte Alegre de Goiás","7586"
"105","MA","GOVERNADOR","Fortaleza dos Nogueiras","6950"
"105","MA","GOVERNADOR","Nova Colinas","3102"
"105","MG","GOVERNADOR","Elói Mendes","15417"
"105","PE","GOVERNADOR","Caruaru","78551"
"105","PR","GOVERNADOR","Guairaçá","3867"
"105","PR","GOVERNADOR","Terra Rica","9269"
"105","RJ","GOVERNADOR","Itaguaí","65838"
"105","RS","GOVERNADOR","Campo Bom","41786"
"105","SP","GOVERNADOR","Areias","2581"
"105","SP","GOVERNADOR","Queluz","5876"
"106","BA","GOVERNADOR","Nordestina","6539"
"106","BA","GOVERNADOR","Queimadas","13591"
"106","CE","GOVERNADOR","Meruoca","7979"
"106","GO","GOVERNADOR","Aparecida do Rio Doce","3914"
"106","GO","GOVERNADOR","Caçu","13855"
"106","GO","GOVERNADOR","Itarumã","6770"
"106","MA","GOVERNADOR","Pedro do Rosário","10572"
"106","MA","GOVERNADOR","Pinheiro","14142"
"106","MA","GOVERNADOR","Presidente Sarney","8156"
"106","MG","GOVERNADOR","Desterro de Entre Rios","4631"
"106","MG","GOVERNADOR","Entre Rios de Minas","9364"
"106","MG","GOVERNADOR","Jeceaba","4112"
"106","MG","GOVERNADOR","São Brás do Suaçuí","2462"
"106","PE","GOVERNADOR","Caruaru","59623"
"106","PR","GOVERNADOR","Cândido de Abreu","9697"
"106","RJ","GOVERNADOR","Itaocara","15252"
"106","RS","GOVERNADOR","Gramado","23062"
"106","SP","GOVERNADOR","Iepê","4723"
"106","SP","GOVERNADOR","Nantes","1737"
"106","SP","GOVERNADOR","Rancharia","18453"
"107","BA","GOVERNADOR","Elísio Medrado","5726"
"107","BA","GOVERNADOR","Itatim","8254"
"107","BA","GOVERNADOR","Santa Teresinha","5829"
"107","CE","GOVERNADOR","São Luís do Curu","8942"
"107","CE","GOVERNADOR","Umirim","11094"
"107","MA","GOVERNADOR","Apicum-Açu","6828"
"107","MA","GOVERNADOR","Bacuri","8779"
"107","MA","GOVERNADOR","Serrano do Maranhão","5084"
"107","MG","GOVERNADOR","Araponga","4773"
"107","MG","GOVERNADOR","Ervália","12351"
"107","PE","GOVERNADOR","Afrânio","12509"
"107","PE","GOVERNADOR","Dormentes","11067"
"107","PR","GOVERNADOR","Bela Vista da Caroba","2717"
"107","PR","GOVERNADOR","Capanema","11955"
"107","PR","GOVERNADOR","Planalto","8775"
"107","PR","GOVERNADOR","Pérola d'Oeste","4534"
"107","RJ","GOVERNADOR","Itaperuna","58267"
"107","RJ","GOVERNADOR","São José de Ubá","5402"
"107","RS","GOVERNADOR","Chiapetta","2822"
"107","RS","GOVERNADOR","Inhacorá","1636"
"107","RS","GOVERNADOR","Santo Augusto","9419"
"107","RS","GOVERNADOR","São Martinho","4209"
"107","RS","GOVERNADOR","São Valério do Sul","1593"
"107","SP","GOVERNADOR","Boa Esperança do Sul","8114"
"107","SP","GOVERNADOR","Dourado","5798"
"107","SP","GOVERNADOR","Ribeirão Bonito","7022"
"107","SP","GOVERNADOR","Trabiju","1163"
"108","BA","GOVERNADOR","Conceição da Feira","11350"
"108","BA","GOVERNADOR","São Gonçalo dos Campos","18489"
"108","CE","GOVERNADOR","Barroquinha","8878"
"108","CE","GOVERNADOR","Chaval","7691"
"108","MA","GOVERNADOR","Governador Eugênio Barros","8298"
"108","MA","GOVERNADOR","Graça Aranha","4071"
"108","MA","GOVERNADOR","Senador Alexandre Costa","4842"
"108","MG","GOVERNADOR","Esmeraldas","29540"
"108","PE","GOVERNADOR","Betânia","7210"
"108","PR","GOVERNADOR","Nova Fátima","4927"
"108","RJ","GOVERNADOR","Rio Claro","11451"
"108","RS","GOVERNADOR","Sapucaia do Sul","46471"
"108","SP","GOVERNADOR","Ribeirão Preto","31736"
"109","BA","GOVERNADOR","Laje","13488"
"109","BA","GOVERNADOR","Mutuípe","12845"
"109","CE","GOVERNADOR","Paracuru","19725"
"109","GO","GOVERNADOR","Itapirapuã","10516"
"109","GO","GOVERNADOR","Matrinchã","5646"
"109","MA","GOVERNADOR","Anajatuba","13819"
"109","MG","GOVERNADOR","Espinosa","16399"
"109","MG","GOVERNADOR","Mamonas","4239"
"109","PE","GOVERNADOR","Santa Cruz do Capibaribe","41852"
"109","PR","GOVERNADOR","Santa Mariana","8069"
"109","RJ","GOVERNADOR","Macaé","59744"
"109","RS","GOVERNADOR","Colorado","2729"
"109","RS","GOVERNADOR","Lagoa dos Três Cantos","1261"
"109","RS","GOVERNADOR","Selbach","3625"
"109","RS","GOVERNADOR","Tapera","6903"
"109","SP","GOVERNADOR","Dumont","4985"
"109","SP","GOVERNADOR","Serrana","23396"
"11","AL","GOVERNADOR","Palestina","5374"
"11","AL","GOVERNADOR","Pão de Açúcar","24894"
"11","AM","GOVERNADOR","Eirunepé","11873"
"11","AP","GOVERNADOR","Pedra Branca do Amapari","8040"
"11","AP","GOVERNADOR","Serra do Navio","4905"
"11","BA","GOVERNADOR","Salvador","61642"
"11","CE","GOVERNADOR","Quixeramobim","40075"
"11","DF","GOVERNADOR","Brasília","109678"
"11","ES","GOVERNADOR","Santa Teresa","14798"
"11","ES","GOVERNADOR","São Roque do Canaã","7401"
"11","GO","GOVERNADOR","Cabeceiras","8892"
"11","GO","GOVERNADOR","Flores de Goiás","8357"
"11","GO","GOVERNADOR","Formosa","100331"
"11","GO","GOVERNADOR","Vila Boa","4709"
"11","MA","GOVERNADOR","Alto Parnaíba","5295"
"11","MA","GOVERNADOR","Tasso Fragoso","4132"
"11","MG","GOVERNADOR","Alto Rio Doce","7699"
"11","MG","GOVERNADOR","Cipotânea","3715"
"11","MS","GOVERNADOR","Nova Alvorada do Sul","8893"
"11","MS","GOVERNADOR","Rio Brilhante","16807"
"11","MT","GOVERNADOR","Aripuanã","9048"
"11","MT","GOVERNADOR","Colniza","12410"
"11","PA","GOVERNADOR","Bonito","14132"
"11","PA","GOVERNADOR","São Miguel do Guamá","48567"
"11","PB","GOVERNADOR","Areia","28778"
"11","PE","GOVERNADOR","Jaboatão dos Guararapes","72858"
"11","PI","GOVERNADOR","Brasileira","9418"
"11","PI","GOVERNADOR","Piripiri","66574"
"11","PR","GOVERNADOR","Campo do Tenente","4433"
"11","PR","GOVERNADOR","Piên","7360"
"11","PR","GOVERNADOR","Quitandinha","10516"
"11","PR","GOVERNADOR","Rio Negro","19128"
"11","RJ","GOVERNADOR","Rio de Janeiro","36020"
"11","RN","GOVERNADOR","Baía Formosa","5338"
"11","RN","GOVERNADOR","Canguaretama","17816"
"11","RN","GOVERNADOR","Vila Flor","1975"
"11","RO","GOVERNADOR","Cacoal","44740"
"11","RS","GOVERNADOR","Bom Princípio","7879"
"11","RS","GOVERNADOR","Capela de Santana","6766"
"11","RS","GOVERNADOR","Harmonia","3271"
"11","RS","GOVERNADOR","Portão","18961"
"11","RS","GOVERNADOR","São José do Hortêncio","3014"
"11","RS","GOVERNADOR","São Sebastião do Caí","15626"
"11","RS","GOVERNADOR","Tupandi","2855"
"11","SC","GOVERNADOR","Curitibanos","23478"
"11","SC","GOVERNADOR","Frei Rogério","1805"
"11","SC","GOVERNADOR","Ponte Alta","3233"
"11","SC","GOVERNADOR","Ponte Alta do Norte","2085"
"11","SC","GOVERNADOR","São Cristovão do Sul","2659"
"11","SE","GOVERNADOR","Carmópolis","9373"
"11","SE","GOVERNADOR","Japaratuba","10452"
"11","SE","GOVERNADOR","Pirambu","5620"
"11","SP","GOVERNADOR","Araçatuba","52330"
"11","TO","GOVERNADOR","Axixá do Tocantins","6483"
"11","TO","GOVERNADOR","Itaguatins","3761"
"11","TO","GOVERNADOR","Maurilândia do Tocantins","2173"
"11","TO","GOVERNADOR","São Miguel do Tocantins","5183"
"11","TO","GOVERNADOR","Sítio Novo do Tocantins","5509"
"110","BA","GOVERNADOR","Banzaê","6730"
"110","BA","GOVERNADOR","Ribeira do Pombal","26665"
"110","CE","GOVERNADOR","Porteiras","9698"
"110","GO","GOVERNADOR","Araguapaz","9215"
"110","GO","GOVERNADOR","Aruanã","7259"
"110","GO","GOVERNADOR","Mozarlândia","15608"
"110","GO","GOVERNADOR","Nova Crixás","11832"
"110","MA","GOVERNADOR","Igarapé do Meio","6901"
"110","MA","GOVERNADOR","Monção","13656"
"110","MG","GOVERNADOR","Cascalho Rico","2222"
"110","MG","GOVERNADOR","Estrela do Sul","4474"
"110","MG","GOVERNADOR","Grupiara","1212"
"110","PE","GOVERNADOR","Palmeirina","4799"
"110","PR","GOVERNADOR","Borrazópolis","5424"
"110","PR","GOVERNADOR","Cruzmaltina","2229"
"110","PR","GOVERNADOR","Faxinal","9313"
"110","RJ","GOVERNADOR","Magé","55063"
"110","RS","GOVERNADOR","Balneário Pinhal","5761"
"110","RS","GOVERNADOR","Cidreira","7291"
"110","RS","GOVERNADOR","Imbé","11382"
"110","RS","GOVERNADOR","Tramandaí","24175"
"110","SP","GOVERNADOR","Rio Claro","59333"
"111","BA","GOVERNADOR","Botuporã","6079"
"111","BA","GOVERNADOR","Caturama","4790"
"111","BA","GOVERNADOR","Paramirim","11144"
"111","BA","GOVERNADOR","Rio do Pires","6432"
"111","BA","GOVERNADOR","Tanque Novo","8529"
"111","BA","GOVERNADOR","Érico Cardoso","5770"
"111","CE","GOVERNADOR","Frecheirinha","7456"
"111","MA","GOVERNADOR","Cajapió","6013"
"111","MA","GOVERNADOR","São Vicente Ferrer","10917"
"111","MG","GOVERNADOR","Antônio Prado de Minas","1443"
"111","MG","GOVERNADOR","Eugenópolis","6735"
"111","MG","GOVERNADOR","Patrocínio do Muriaé","3885"
"111","PE","GOVERNADOR","Joaquim Nabuco","9416"
"111","PR","GOVERNADOR","Imbaú","6086"
"111","PR","GOVERNADOR","Telêmaco Borba","39923"
"111","RJ","GOVERNADOR","Valença","46163"
"111","RS","GOVERNADOR","Porto Alegre","90357"
"111","SP","GOVERNADOR","Ariranha","5869"
"111","SP","GOVERNADOR","Palmares Paulista","5833"
"111","SP","GOVERNADOR","Santa Adélia","9145"
"112","BA","GOVERNADOR","Alcobaça","11072"
"112","BA","GOVERNADOR","Prado","13243"
"112","CE","GOVERNADOR","Fortaleza","105603"
"112","GO","GOVERNADOR","Rialma","13504"
"112","GO","GOVERNADOR","Rianápolis","5900"
"112","GO","GOVERNADOR","Santa Isabel","4847"
"112","MG","GOVERNADOR","Extrema","17453"
"112","MG","GOVERNADOR","Toledo","3867"
"112","PE","GOVERNADOR","Toritama","17183"
"112","PR","GOVERNADOR","Campo Bonito","3041"
"112","PR","GOVERNADOR","Diamante do Sul","2290"
"112","PR","GOVERNADOR","Guaraniaçu","9651"
"112","RJ","GOVERNADOR","Miracema","16828"
"112","RS","GOVERNADOR","Porto Alegre","98081"
"112","SP","GOVERNADOR","Salesópolis","11294"
"112","SP","GOVERNADOR","Santa Branca","9111"
"113","BA","GOVERNADOR","Igaporã","8283"
"113","BA","GOVERNADOR","Matina","6132"
"113","BA","GOVERNADOR","Riacho de Santana","16307"
"113","CE","GOVERNADOR","Fortaleza","89089"
"113","GO","GOVERNADOR","Buriti de Goiás","4349"
"113","GO","GOVERNADOR","Córrego do Ouro","4092"
"113","GO","GOVERNADOR","Sanclerlândia","11075"
"113","MG","GOVERNADOR","Carmésia","1600"
"113","MG","GOVERNADOR","Ferros","6498"
"113","PE","GOVERNADOR","Poção","6901"
"113","PR","GOVERNADOR","Assis Chateaubriand","20642"
"113","PR","GOVERNADOR","Tupãssi","5358"
"113","RJ","GOVERNADOR","Niterói","28828"
"113","RS","GOVERNADOR","Porto Alegre","93904"
"113","SP","GOVERNADOR","Santa Cruz das Palmeiras","17575"
"114","BA","GOVERNADOR","Candeal","5390"
"114","BA","GOVERNADOR","Ichu","3902"
"114","BA","GOVERNADOR","Pé de Serra","7744"
"114","BA","GOVERNADOR","Riachão do Jacuípe","19450"
"114","CE","GOVERNADOR","Fortaleza","98983"
"114","GO","GOVERNADOR","Itaguari","6594"
"114","GO","GOVERNADOR","Taquaral de Goiás","5478"
"114","MG","GOVERNADOR","Córrego Fundo","4077"
"114","MG","GOVERNADOR","Formiga","43766"
"114","MG","GOVERNADOR","Pimenta","5191"
"114","PE","GOVERNADOR","Verdejante","5630"
"114","PR","GOVERNADOR","Medianeira","25355"
"114","PR","GOVERNADOR","Missal","7071"
"114","PR","GOVERNADOR","Serranópolis do Iguaçu","3417"
"114","RJ","GOVERNADOR","Niterói","25622"
"114","RS","GOVERNADOR","Porto Alegre","90125"
"114","SP","GOVERNADOR","Bernardino de Campos","6700"
"114","SP","GOVERNADOR","Espírito Santo do Turvo","2692"
"114","SP","GOVERNADOR","Ipaussu","8062"
"114","SP","GOVERNADOR","Santa Cruz do Rio Pardo","26590"
"114","SP","GOVERNADOR","São Pedro do Turvo","4188"
"115","BA","GOVERNADOR","Caldeirão Grande","5549"
"115","BA","GOVERNADOR","Ponto Novo","8172"
"115","BA","GOVERNADOR","Saúde","6655"
"115","CE","GOVERNADOR","Fortaleza","92361"
"115","GO","GOVERNADOR","Palminópolis","6011"
"115","GO","GOVERNADOR","Turvânia","7359"
"115","MG","GOVERNADOR","Capitão Enéas","8641"
"115","MG","GOVERNADOR","Francisco Sá","14317"
"115","PE","GOVERNADOR","Cachoeirinha","11273"
"115","PR","GOVERNADOR","Boa Esperança do Iguaçu","2024"
"115","PR","GOVERNADOR","Cruzeiro do Iguaçu","2711"
"115","PR","GOVERNADOR","Dois Vizinhos","22542"
"115","PR","GOVERNADOR","São Jorge d'Oeste","6098"
"115","PR","GOVERNADOR","Verê","5869"
"115","RJ","GOVERNADOR","Niterói","26391"
"115","RS","GOVERNADOR","Condor","4615"
"115","RS","GOVERNADOR","Panambi","23685"
"115","RS","GOVERNADOR","Saldanha Marinho","2331"
"115","RS","GOVERNADOR","Santa Bárbara do Sul","6109"
"115","SP","GOVERNADOR","Igaratá","5756"
"115","SP","GOVERNADOR","Santa Isabel","31292"
"116","BA","GOVERNADOR","Canavieiras","17028"
"116","BA","GOVERNADOR","Una","12062"
"116","CE","GOVERNADOR","Fortaleza","105340"
"116","MG","GOVERNADOR","Comendador Gomes","1975"
"116","MG","GOVERNADOR","Fronteira","7996"
"116","MG","GOVERNADOR","Frutal","30484"
"116","MG","GOVERNADOR","Planura","6209"
"116","PE","GOVERNADOR","São João","12048"
"116","PR","GOVERNADOR","Engenheiro Beltrão","8952"
"116","PR","GOVERNADOR","Fênix","3210"
"116","PR","GOVERNADOR","Quinta do Sol","3563"
"116","RJ","GOVERNADOR","Angra dos Reis","34658"
"116","RS","GOVERNADOR","Butiá","13329"
"116","RS","GOVERNADOR","Minas do Leão","5259"
"116","SP","GOVERNADOR","Santa Rita do Passa Quatro","17087"
