"id","uf","municipio","zona","lat","long","codTSE"
"95796-051","GO","Santa Cruz de Goiás","51","-17.3215530226093","-48.476689757667","95796"
"90794-039","MS","Glória de Dourados","39","-22.4144245303329","-54.2346287898579","90794"
"49433-204","MG","Paraguaçu","204","-21.5473160261166","-45.7326954707608","49433"
"41246-070","MG","Orizânia","70","-20.5041213736257","-42.2029460820898","41246"
"02895-060","AM","Alvarães","60","-3.21658376896053","-64.8135346775686","02895"
"04952-019","PA","Monte Alegre","19","-2.00332799993398","-54.073374725636","04952"
"38679-074","BA","Santanópolis","74","-12.0284068876483","-38.8671618077053","38679"
"91790-033","MS","Mundo Novo","33","-23.9352736174856","-54.2816614237766","91790"
"59331-196","RJ","São José do Vale do Rio Preto","196","-22.1497395098308","-42.9233683013341","59331"
"17272-019","RN","Lagoa de Velhos","19","-5.999915519106379","-35.8706988331384","17272"
"36412-149","BA","Itiúba","149","-10.6919012253061","-39.8532769742179","36412"
"81043-035","SC","Cordilheira Alta","35","-26.9850812915617","-52.6032512708199","81043"
"68330-164","SP","Paulo de Faria","164","-20.0293000271915","-49.3995518863825","68330"
"85766-067","RS","Relvado","67","-29.1122786653231","-52.07294855429661","85766"
"81485-069","SC","São Bernardino","69","-26.4732782455023","-52.96553873973739","81485"
"53791-275","MG","Tocantins","275","-21.1755495253828","-43.0186995083911","53791"
"67938-163","SP","Osvaldo Cruz","163","-21.7970834993489","-50.8731391102635","67938"
"93696-037","GO","Goiandira","37","-18.1326246738187","-48.0884713741385","93696"
"02216-021","AM","Carauari","21","-4.88166590404391","-66.8966352816837","02216"
"76414-149","PR","Japurá","149","-23.4685877718679","-52.5566276715464","76414"
"13196-066","CE","Aquiraz","66","-3.90619449987157","-38.3898029588509","13196"
"88480-044","RS","Unistalda","44","-29.0474850247827","-55.1507805181379","88480"
"87220-068","RS","Nova Pádua","68","-29.0300464444844","-51.306824642212","87220"
"86169-062","RS","Nova Alvorada","62","-28.6765644320029","-52.16713391729131","86169"
"22438-026","PB","Várzea","26","-6.77080724656162","-36.9927210043315","22438"
"00566-018","RO","Urupá","18","-11.1285452753216","-62.3706324537667","00566"
"01112-006","AC","Epitaciolândia","6","-11.0282398276016","-68.7448680666749","01112"
"51390-244","MG","Salinas","244","-16.1698557316106","-42.2935064722757","51390"
"94552-083","GO","Paranaiguara","83","-18.905159859328","-50.6522043595986","94552"
"08265-017","MA","São Domingos do Azeitão","17","-6.804425009529089","-44.6504239102536","08265"
"90050-008","MT","Alto Araguaia","8","-17.3155899398596","-53.22026032998431","90050"
"54038-278","MG","Uberlândia","278","-19.924607","-48.304526","54038"
"16853-032","RN","Grossos","32","-4.97551480691087","-37.1574841600262","16853"
"07153-024","MA","Anapurus","24","-3.66703466222625","-43.1057925096893","07153"
"91219-058","MT","Nossa Senhora do Livramento","58","-15.7896762061736","-56.3452585551782","91219"
"95176-091","GO","Panamá","91","-18.1824552751432","-49.3534819159218","95176"
"90735-043","MS","Dourados","43","-22.2369568","-54.81373079999999","90735"
"75469-131","PR","Manfrinópolis","131","-26.1437768717995","-53.3125829630542","75469"
"18112-063","RN","Riacho da Cruz","63","-5.93580252182953","-37.9502747099434","18112"
"80837-090","SC","Concórdia","90","-27.223061","-52.026087","80837"
"88390-162","RS","Santa Cruz do Sul","162","-29.7182","-52.4323633","88390"
"84999-006","RS","Ipê","6","-28.818328031033","-51.2799101922001","84999"
"40665-071","MG","Santa Rita de Minas","71","-19.8752101695636","-42.1317808369165","40665"
"26131-069","PE","Triunfo","69","-7.83087635851554","-38.1070603447143","26131"
"73016-027","TO","Piraquê","27","-6.76977703318617","-48.2937073910932","73016"
"76791-144","PR","Mandirituba","144","-25.7596206123546","-49.3227825970264","76791"
"94650-121","GO","Moiporá","121","-16.5468998835783","-50.73609753987469","94650"
"31291-011","SE","Carmópolis","11","-10.6468185836093","-36.9908161851827","31291"
"58378-151","RJ","Itaboraí","151","-22.7472119","-42.8928897","58378"
"91782-048","MS","Chapadão do Sul","48","-18.7977731214601","-52.62635570699871","91782"
"70718-273","SP","Santos","273","-23.9512468","-46.3368003","70718"
"72737-286","SP","Vargem Grande Paulista","286","-23.6153024993069","-47.019647784074","72737"
"46736-140","MG","Itatiaiuçu","140","-20.1986423597472","-44.4291636129271","46736"
"93076-072","GO","Ceres","72","-15.3070283349192","-49.6033462318309","93076"
"23221-034","PE","Casinhas","34","-7.74320656766774","-35.7253231033555","23221"
"39730-104","BA","Lapão","104","-11.3801390535544","-41.8319086533875","39730"
"85170-020","RS","Aratiba","20","-27.3944441281235","-52.3038319547884","85170"
"96016-094","GO","São Miguel do Araguaia","94","-13.2760243425423","-50.1638382701425","96016"
"91715-019","MS","Aral Moreira","19","-22.9478813284076","-55.6307614468625","91715"
"90190-024","MS","Aparecida do Taboado","24","-20.0850215143864","-51.0976376237368","90190"
"23957-028","PE","Cortês","28","-8.47515121701638","-35.5415869000023","23957"
"42110-059","MG","Cambuí","59","-22.611097162703","-46.0580193633379","42110"
"23035-107","PE","Afrânio","107","-8.511091283478621","-41.0057973410949","23035"
"43435-191","MG","Conceição das Pedras","191","-22.1611757081197","-45.4536794627182","43435"
"87173-118","RS","Ivoti","118","-29.5941565220517","-51.15957419432989","87173"
"75230-126","PR","Corbélia","126","-24.7996495152542","-53.2965277769968","75230"
"81680-058","SC","Tigrinhos","58","-26.6894748370017","-53.1575419839148","81680"
"45276-322","MG","Fortuna de Minas","322","-19.5639009591179","-44.4433970450287","45276"
"74861-148","PR","São Pedro do Iguaçu","148","-24.9309309241334","-53.8598616786826","74861"
"33898-094","BA","Brotas de Macaúbas","94","-12.0026355369198","-42.6246912893431","33898"
"67377-358","SP","Monte Mor","358","-22.945521998644","-47.3132692483363","67377"
"90816-022","MS","Guia Lopes da Laguna","22","-21.4524591416024","-56.1081525022452","90816"
"30031-033","RN","Baraúna","33","-5.07661810463814","-37.6181801950628","30031"
"45357-136","MG","Frei Gaspar","136","-18.0711850275345","-41.4294207855596","45357"
"47473-256","MG","Lagoa Dourada","256","-20.9185986164041","-44.0711164400161","47473"
"45551-120","MG","Grão Mogol","120","-16.5664951542751","-42.888012880146","45551"
"34592-135","BA","Coaraci","135","-14.6368142023404","-39.5523042559245","34592"
"85936-152","RS","Carlos Barbosa","152","-29.2982968050683","-51.50381762998361","85936"
"10600-082","PI","Barra D'Alcântara","82","-6.51887307208077","-42.1050020825819","10600"
"46132-016","MG","Indianópolis","16","-19.0424949322267","-47.9179923167254","46132"
"40673-015","MG","Araçuaí","15","-16.8517813948383","-42.0642065495411","40673"
"60011-237","RJ","Rio de Janeiro","237","-22.880993","-43.511033","60011"
"35050-107","BA","Elísio Medrado","107","-12.9433258377969","-39.5204855551496","35050"
"27570-044","AL","Girau do Ponciano","44","-9.88736415183859","-36.8303139029901","27570"
"35637-176","BA","Ibititá","176","-11.5527707220368","-41.9751521500745","35637"
"17035-053","RN","Januário Cicco","53","-6.15609802235133","-35.600891962575","17035"
"71897-203","SP","Terra Roxa","203","-20.7878416560282","-48.3415361372325","71897"
"75655-069","PR","Francisco Beltrão","69","-26.0784499992544","-53.0561357214894","75655"
"35017-101","BA","Dom Basílio","101","-13.7633265541405","-41.7708775806957","35017"
"23272-042","PE","Barreiros","42","-8.81413798982074","-35.1990859873173","23272"
"61131-007","SP","Agudos","7","-22.4740369993329","-48.9901562879424","61131"
"46019-041","MG","Igarapé","41","-20.069908683451","-44.3011578802931","46019"
"20435-007","PB","Itapororoca","7","-6.82992016281829","-35.246295714605","20435"
"11339-060","PI","Nazaré do Piauí","60","-6.96712849086946","-42.6682272300917","11339"
"18198-019","RN","Ruy Barbosa","19","-5.87942894076559","-35.9354841632411","18198"
"13021-063","CE","Madalena","63","-4.85243417644272","-39.5757886826003","13021"
"81329-011","SC","Frei Rogério","11","-27.1747514984653","-50.8064082491164","81329"
"13897-114","CE","Fortaleza","114","-3.7203198","-38.5172147","13897"
"08257-051","MA","Magalhães de Almeida","51","-3.39666767410904","-42.2015066913751","08257"
"51179-240","MG","Rio Preto","240","-22.086922251797","-43.8294656655803","51179"
"96814-084","GO","Indiara","84","-17.1372613095512","-49.98905319502839","96814"
"07773-061","MA","Esperantinópolis","61","-4.87030089731659","-44.8860686990188","07773"
"67695-292","SP","Nova Odessa","292","-22.7827946602388","-47.2936346144048","67695"
"54453-293","MG","Itaú de Minas","293","-20.7381893861494","-46.75295378305379","54453"
"54372-283","MG","Virginópolis","283","-18.8251403919712","-42.7148044703271","54372"
"51691-264","MG","Santana de Pirapama","264","-19.0068859962737","-44.0381025080678","51691"
"67474-084","SP","Natividade da Serra","84","-23.375786982671","-45.4464004707244","67474"
"48658-185","MG","Montes Claros","185","-16.713957","-43.871017","48658"
"95656-112","GO","Rialma","112","-15.3154039727546","-49.58436950868369","95656"
"70378-115","SP","Santa Isabel","115","-23.3180884993136","-46.2270128418218","70378"
"95192-007","TO","Paraíso do Tocantins","7","-10.1712207546715","-48.8866300840169","95192"
"08206-079","MA","Santa Filomena do Maranhão","79","-5.49976680654183","-44.5637140401312","08206"
"00809-004","RO","Chupinguaia","4","-12.5568407606929","-60.9018477499554","00809"
"40398-019","MG","Alterosa","19","-21.2558699512828","-46.1453205614697","40398"
"64955-191","SP","Ibiúna","191","-23.65263249930611","-47.2204911874899","64955"
"60011-189","RJ","Rio de Janeiro","189","-22.837315","-43.301955","60011"
"51136-238","MG","Rio Piracicaba","238","-19.9549411674932","-43.1798237456689","51136"
"35297-073","BA","Gongogi","73","-14.3237132988772","-39.4672396549531","35297"
"88463-085","RS","Dom Pedro de Alcântara","85","-29.3701870782974","-49.8495499617296","88463"
"75329-163","PR","Espigão Alto do Iguaçu","163","-25.4266700609671","-52.83821349869021","75329"
"58173-097","RJ","Cambuci","97","-21.577276709013","-41.9086360046562","58173"
"64777-185","SP","Guarulhos","185","-23.4684836","-46.5163918","64777"
"91634-047","MT","Torixoréu","47","-16.1975263634297","-52.5588386353409","91634"
"57037-032","ES","Vila Velha","32","-20.3351747","-40.2839872","57037"
"37699-175","BA","Palmas de Monte Alto","175","-14.257350993905","-43.1705121315164","37699"
"88528-064","RS","Cristal do Sul","64","-27.4536295663969","-53.2491844952574","88528"
"67857-164","SP","Orindiúva","164","-20.1801967424252","-49.3518184809986","67857"
"08176-066","MA","Lago Verde","66","-4.0387112951439","-44.9376352319942","08176"
"15970-055","CE","Milhã","55","-5.679564100700891","-39.2035741816436","15970"
"14613-045","CE","Massapê","45","-3.523870584166569","-40.3421348648013","14613"
"87386-027","RS","Pinhal Grande","27","-29.3353601281098","-53.3386383371448","87386"
"42056-057","MG","Caldas","57","-21.9233359576803","-46.3877891098818","42056"
"25313-002","PE","Recife","2","-8.0717521","-34.881805","25313"
"07820-044","MA","Lagoa do Mato","44","-6.04527729637294","-43.5275591165627","07820"
"12270-082","PI","Várzea Grande","82","-6.54294755421079","-42.2531016233439","12270"
"60011-171","RJ","Rio de Janeiro","171","-22.928104","-43.236775","60011"
"75957-067","PR","Iguaraçu","67","-23.194780607985","-51.8247742046263","75957"
"76171-151","PR","Itapejara d'Oeste","151","-25.9708780508996","-52.8139296045112","76171"
"90433-030","MS","Bonito","30","-21.1243412838146","-56.4928586185731","90433"
"86983-031","RS","Maratá","31","-29.5553229667878","-51.5555668832642","86983"
"84840-154","RS","Tunas","154","-29.1064397180437","-52.9570131055336","84840"
"13978-062","CE","Granjeiro","62","-6.88888437265532","-39.2203088858466","13978"
"81108-075","SC","Coronel Martins","75","-26.5116375945381","-52.6696992888121","81108"
"14915-085","CE","Orós","85","-6.24279878348336","-38.9135959845487","14915"
"90905-053","MT","Bom Jesus do Araguaia","53","-12.1735983432637","-51.5036392318627","90905"
"24236-025","PE","Goiana","25","-7.5615083","-35.001616","24236"
"77950-195","PR","Quatro Barras","195","-25.3737448465022","-49.0851888348275","77950"
"86045-019","RS","Amaral Ferrador","19","-30.8751476003378","-52.25127039696981","86045"
"71072-373","SP","São Paulo","373","-23.6518452","-46.7582904","71072"
"40568-318","MG","Periquito","318","-19.154484900521","-42.2347246280497","40568"
"12165-056","PI","Caridade do Piauí","56","-7.72865238731182","-40.9903345467585","12165"
"50610-217","MG","Presidente Bernardes","217","-20.7656775003951","-43.1900555792424","50610"
"47937-219","MG","Maravilhas","219","-19.51467971947","-44.6760761301857","47937"
"89753-154","RS","Salto do Jacuí","154","-29.0886812470148","-53.2133096524064","89753"
"04022-093","PA","Tailândia","93","-2.93707949990331","-48.9512816295758","04022"
"25275-142","PE","Primavera","142","-8.33137608584738","-35.3539433948819","25275"
"51292-244","MG","Rubelita","244","-16.4029664151809","-42.2647623323815","51292"
"41009-050","MG","Luislândia","50","-16.1153114856566","-44.5860484270339","41009"
"07447-101","MA","Centro do Guilherme","101","-2.45698508172726","-46.0399601131872","07447"
"88510-044","RS","Santiago","44","-29.1914601700905","-54.86907585378861","88510"
"10111-084","PI","Angical do Piauí","84","-6.08724169193035","-42.7438657484282","10111"
"98558-107","CE","Umirim","107","-3.675561897977159","-39.3423844042955","98558"
"84514-203","PR","Cantagalo","203","-25.3743173853097","-52.1266876349423","84514"
"16519-006","RN","Ceará-Mirim","6","-5.640983591726919","-35.42448692853","16519"
"70750-284","SP","São Bernardo do Campo","284","-23.650347","-46.5709656","70750"
"58491-110","RJ","Magé","110","-22.6576755","-43.03821629999999","58491"
"50474-270","MG","Poté","270","-17.8013694467449","-41.7883855248752","50474"
"60011-017","RJ","Rio de Janeiro","17","-22.9721342","-43.2243273","60011"
"76953-140","PR","Marmeleiro","140","-26.1486971922463","-53.0261839782571","76953"
"33936-166","BA","Buerarema","166","-14.9564408361335","-39.3025196057871","33936"
"02020-045","AM","Guajará","45","-7.54777441458756","-72.58243053833959","02020"
"34797-060","BA","Cordeiros","60","-15.0372341084395","-41.9357339067348","34797"
"80756-037","SC","Capinzal","37","-27.3442784634457","-51.61136275517589","80756"
"97012-002","DF","Brasília","2","-15.8956849","-47.9431369","97012"
"47090-339","MG","Jequeri","339","-20.4463030368884","-42.6822636838868","47090"
"77852-153","PR","Porto Vitória","153","-26.1634752034466","-51.2366947363773","77852"
"39799-106","BA","Nordestina","106","-10.8320535244975","-39.4291308507325","39799"
"76295-024","PR","Jacarezinho","24","-23.1601164743171","-49.9785725343256","76295"
"48232-254","MG","Matutina","254","-19.2266120627578","-45.9835170334863","48232"
"91278-029","MS","Pedro Gomes","29","-18.1018562336928","-54.5524458291661","91278"
"31097-013","SE","Areia Branca","13","-10.7581922504755","-37.3133626004441","31097"
"91154-045","MS","Nioaque","45","-21.1581523128633","-55.83388992141349","91154"
"12696-053","PI","Cocal dos Alves","53","-3.60607259063565","-41.4554189108305","12696"
"08290-086","MA","Matinha","86","-3.09840002989802","-45.0364289401062","08290"
"61433-215","SP","Angatuba","215","-23.4839869993098","-48.406759616493","61433"
"40916-079","MG","Astolfo Dutra","79","-21.3112038501149","-42.8596443142027","40916"
"66893-365","SP","Mauá","365","-23.6710203","-46.4555748","66893"
"80713-031","SC","Canelinha","31","-27.2724147938395","-48.7892731276779","80713"
"88196-067","RS","Roca Sales","67","-29.2850700729078","-51.86389175992201","88196"
"38350-101","BA","Rio de Contas","101","-13.5886077865593","-41.8187905563617","38350"
"38814-184","BA","São Felipe","184","-12.8450782146155","-39.0840148984065","38814"
"13935-050","CE","General Sampaio","50","-4.05104127452031","-39.4535299504287","13935"
"88889-053","RS","Passa Sete","53","-29.4516655680905","-52.96398323521279","88889"
"00035-021","RO","Porto Velho","21","-8.7613646","-63.8392389","00035"
"25755-141","PE","São Vicente Ferrer","141","-7.59221273231792","-35.4901218808857","25755"
"08818-031","MA","Presidente Juscelino","31","-2.92822924605282","-44.0767794214185","08818"
"44539-012","MG","Dom Silvério","12","-20.1622049291265","-42.9708729670396","44539"
"62197-387","SP","Bauru","387","-22.3317882","-49.0704696","62197"
"42200-255","MG","Ibiracatu","255","-15.665466650836","-44.1677094358321","42200"
"82350-050","SC","Palma Sola","50","-26.3465081330525","-53.2799772512092","82350"
"46353-169","MG","Itabirinha","169","-18.5567992803595","-41.2331827152783","46353"
"90514-054","MS","Campo Grande","54","-20.454972","-54.693648","90514"
"58696-027","RJ","Nova Iguaçu","27","-22.7614725","-43.4512166","58696"
"68390-302","SP","Pedranópolis","302","-20.2476466666321","-50.11239028289711","68390"
"76015-091","PR","Inajá","91","-22.7491161244361","-52.2023437503346","76015"
"78450-067","PR","Santa Fé","67","-23.0361147574987","-51.8063020531831","78450"
"78298-127","PR","Rondon","127","-23.4126599786897","-52.7624923118905","78298"
"77054-065","PR","Miraselva","65","-22.9660925754459","-51.4857072490769","77054"
"86479-004","RS","Espumoso","4","-28.7314451417484","-52.841926970944","86479"
"06009-001","AP","Pracuúba","1","1.7425084870209","-50.7842537212883","06009"
"63614-227","SP","Cotia","227","-23.6025242","-46.9073029","63614"
"33995-093","BA","Caculé","93","-14.5042061966779","-42.2214140996087","33995"
"86380-020","RS","Barra do Rio Azul","20","-27.4087577146806","-52.4141049464501","86380"
"00531-015","RO","Castanheiras","15","-11.4268422250956","-61.9491611964662","00531"
"15997-036","CE","Paraipaba","36","-3.43619672775801","-39.1481155272123","15997"
"71072-405","SP","São Paulo","405","-23.538743","-46.4268813","71072"
"10723-019","PI","Campo Grande do Piauí","19","-7.135993120015839","-41.031200960402","10723"
"40819-182","MG","Arceburgo","182","-21.3601814746009","-46.944354131699","40819"
"25798-076","PE","Serrita","76","-7.954340397820861","-39.2926231743621","25798"
"56855-049","ES","Presidente Kennedy","49","-21.1001484078337","-41.0518956305895","56855"
"08630-045","MA","Penalva","45","-3.29323331766085","-45.1764616887688","08630"
"39659-039","BA","Vitória da Conquista","39","-14.8703105","-40.820528","39659"
"78093-140","PR","Renascença","140","-26.1562209287958","-52.97216201169879","78093"
